[(13.1184917, 77.57376299999999)],[ChIJp9CKqZAYrjsRXWwIxr-geAA]
[(13.0801352, 77.5565163)],[ChIJjWp9MZ8irjsRV_Z8Qqr3Ga0]
[(13.0626473, 77.5826002)],[ChIJb0CpLR8YrjsR5trJcVUN9w0]
[(13.0376884, 77.57491370000002)],[ChIJFStp7egXrjsRtMXdhAlz8v4]
[(12.9992135, 77.52866849999998)],[ChIJLQqSQaU9rjsRN2i2ozoF-Ws]
[(13.0085994, 77.54416319999996)],[ChIJawAWDZ49rjsR89LtkgqMP0o]
[(13.0711419, 77.57666659999995)],[ChIJ_YPPAxEYrjsRArL5mp47tyI]
[(13.0050221, 77.68838119999998)],[ChIJVahv-w8RrjsRA2Tpn5BPoU0]
[(13.033173, 77.5493735)],[ChIJr1hWoUI9rjsRRgKRupbYMA8]
[(13.0978868, 77.56891769999993)],[ChIJb78fOXwYrjsRV2cmS3oZAVM]
[(13.0374193, 77.55082990000005)],[ChIJV0getFw9rjsRwznEIdzrO_A]
[(13.0201714, 77.57797170000003)],[ChIJ5wskIM8XrjsRBimExGdCEV8]
[(13.0132452, 77.5352504)],[ChIJj5OCuQs9rjsRjr7a4AzupPs]
[(13.0616331, 77.60211649999997)],[ChIJLe5s2CsYrjsRE_-vM7nIT3s]
