[(13.0305805, 77.63490560000002)],[ChIJMy__LUYXrjsR3FnsfBz4FCc]
[(13.0353282, 77.57528130000003)],[ChIJjQr-I-gXrjsRL2tiYCrHLRo]
[(12.914402, 77.63860299999999)],[ChIJsxc6SI4UrjsRcioALPY6dZ4]
[(12.95569, 77.72019699999998)],[ChIJ0yEMcD4SrjsRHMkOVpLQtE8]
[(12.99715, 77.61425600000007)],[ChIJ49OCHfIWrjsRRHhe0iCW1Uk]
[(12.9165226, 77.62320479999994)],[ChIJMzK-OvEUrjsRlm3JZiPpUcM]
[(12.997989, 77.62265100000002)],[ChIJgeGf9PAWrjsRffHVon5uHSU]
[(12.890993, 77.59456699999998)],[ChIJv_tmKSUVrjsRnVGnZxklKRY]
[(13.039301, 77.573982)],[ChIJPcz0guEXrjsRYsub9p3cdh8]
[(12.986524, 77.72610399999996)],[ChIJPwR7vO0RrjsR80aW_9IvhIM]
[(12.956402, 77.69785999999999)],[ChIJRbZRMTUSrjsRUUk9v_9zuJU]
[(12.8925383, 77.64175049999994)],[ChIJCbHbMqUUrjsRmAkuNoCaMl8]
[(12.95152, 77.69933500000002)],[ChIJ2-bdzMoTrjsRqKLk4PDbYyM]
[(12.9083768, 77.58764769999993)],[ChIJw8c_VQwVrjsRTLpFYJbpkSQ]
[(12.906181, 77.59145000000001)],[ChIJ2x7UIhEVrjsRsFzDzJzsfNE]
[(13.041033, 77.61640499999999)],[ChIJ36n9s7MWrjsR2Autn-0m1OM]
[(13.0054118, 77.59972919999996)],[ChIJ8TCKzk0WrjsRuE0gHdsXWXs]
[(12.918436, 77.64933359999998)],[ChIJ7Y5UPHcWrjsRFDQTWCpeSlI]
