[(12.9195709, 77.63281400000005)],[ChIJnYGtEosUrjsRW521sB-A5lk]
[(12.9212578, 77.4841083)],[ChIJdThfmdk-rjsRJZjQf-tEn2Q]
[(12.740913, 77.82529199999999)],[ChIJv6qqqtpwrjsR5IuufWeJcMM]
[(12.9163511, 77.56927680000001)],[ChIJl41UankVrjsR_IjpyKlLEJs]
[(12.9423761, 77.60057899999993)],[ChIJK3wPXrYVrjsRL4cDa5Uukcs]
[(12.93751, 77.49275899999998)],[ChIJFX9OL8A-rjsRGoXlG5vqs6A]
[(12.9350141, 77.57523700000002)],[ChIJs_GHTJAVrjsRmHfAJs3oojI]
[(12.890003, 77.56391200000007)],[ChIJpdSq8VgVrjsRJXEukO7ioW8]
[(12.928577, 77.59442450000006)],[ChIJ05F3xKUVrjsRp2vlWrkYfTI]
[(12.94183, 77.55531700000006)],[ChIJTS9VECI-rjsRf2ld9SjjJr0]
[(12.911815, 77.55531399999995)],[ChIJIQAAJ9E_rjsRLmgslfkZpGs]
[(12.916608, 77.569075)],[ChIJSfLmP3kVrjsRXmK4hycl8bk]
[(12.782185, 77.77199100000007)],[ChIJM-T8aZJxrjsRXU0WT3jkcrs]
[(12.923824, 77.62877700000001)],[ChIJs0hRhF8UrjsRJUxMfn2azRQ]
[(12.8941948, 77.58183489999999)],[ChIJxQYrJ0EVrjsR-0pUEXvlYEA]
[(12.7092, 77.82841200000007)],[ChIJXRZHsqlwrjsRXkrVZ82zxE4]
[(12.920082, 77.61763129999997)],[ChIJKchUtPkUrjsR80hqb2EFohk]
[(12.9134929, 77.67852599999992)],[ChIJXUB5hBITrjsRUkizeLygllI]
[(12.9259687, 77.58802880000007)],[ChIJOUe6dKEVrjsRnUM10KNqzxw]
[(12.943782, 77.62119699999994)],[ChIJY2B8ukcUrjsRrUK6ZNbOCBg]
[(12.889013, 77.58204699999999)],[ChIJXRw4tUcVrjsRND5MekBSi9E]
[(12.8719951, 77.65393700000004)],[ChIJ5YmO2alsrjsRxj1Pj2ryQSw]
[(12.9347435, 77.57393609999997)],[ChIJaxOHLpAVrjsRfz3jRxtItOM]
[(12.928347, 77.59445870000002)],[ChIJ8Q2z3KUVrjsRyTzAxgyhmpk]
[(12.729782, 77.82790299999999)],[ChIJJS5yKshwrjsRbjsWAvrg1Nc]
[(12.93343, 77.54260599999998)],[ChIJmVUqpjk-rjsR_Dqx7Io1gbc]
[(12.7265343, 77.83278849999999)],[ChIJPX21SLRwrjsR5zaA_ktbHto]
[(12.9085213, 77.6103521)],[ChIJaY_DVeIUrjsRVCdcJYQcm0w]
[(12.8948155, 77.63597750000008)],[ChIJHWa4W7kUrjsRXCDMde7LS-Q]
[(12.879007, 77.60261300000002)],[ChIJKQ_SZSsVrjsRiB4Kt2oDtOw]
[(12.903888, 77.544265)],[ChIJS0pMosY_rjsR4RXVcDnM9XI]
[(12.922256, 77.61943599999995)],[ChIJa3f39vcUrjsRuRRWP3DkljM]
[(12.91555, 77.51346999999998)],[ChIJpwlrVAA_rjsRqQu4pylnFXs]
[(12.8987703, 77.57206900000006)],[ChIJiTsV82cVrjsRYwqghkXWSp0]
[(12.881599, 77.56706600000007)],[ChIJETIUr1YVrjsREQJ0-PMTcW4]
[(13.0308352, 77.56014189999996)],[ChIJUZ5cbGs9rjsRtIkAv-qnaO0]
[(13.033267, 77.55831699999999)],[ChIJ0xr4J149rjsRsO4rmE8l0-I]
[(13.033667, 77.61658299999999)],[ChIJfZzOAw0XrjsRsySCa__7h04]
[(13.057985, 77.58656999999994)],[ChIJJTfzbSAYrjsRozc841kcohw]
[(13.0495743, 77.50749810000002)],[ChIJjT8DtdM8rjsRDDlrGQ8QrpU]
[(13.038283, 77.573983)],[ChIJQVuDougXrjsRPMB2KDSu7wo]
[(13.034017, 77.61533299999996)],[ChIJv0Bx7gwXrjsRrHkPFBTu5wQ]
[(13.0506871, 77.51520479999999)],[ChIJyeYBkdU8rjsR0Ohrq3X3rzk]
[(13.0442908, 77.51326859999995)],[ChIJkatxp9c8rjsRfNpDGodRIYw]
[(13.0681411, 77.59273269999994)],[ChIJdWYC0CQYrjsRv3ocNcq4CIo]
[(13.092767, 77.5838)],[ChIJwUXC5WMYrjsRFPN61JRzP34]
[(13.0874636, 77.58735219999994)],[ChIJY6mcTkIYrjsRc68ag6xZhjI]
[(13.0929284, 77.58385150000004)],[ChIJg9-kkWcYrjsR_xHI6lrmvLo]
[(13.1375927, 77.60323649999998)],[ChIJ2emdXtcYrjsRp1bGMDtM9d8]
[(13.0722, 77.56631700000003)],[ChIJAxkZQgkYrjsRLPjgJ8MRrjI]
[(13.104245, 77.57131900000002)],[ChIJizscsocYrjsRzshVdT-QhbI]
