[(12.970617, 77.57998299999997)],[ChIJu2sDwwsWrjsR5B0vwOGc604]
[(12.9708, 77.58013299999993)],[ChIJ9X7p6QsWrjsRuPJQd6cr4uI]
[(12.9706276, 77.57999949999999)],[ChIJAWCTwgsWrjsRFULH9WK1oZI]
[(12.9705641, 77.58017280000001)],[ChIJ_81JwgsWrjsRZqN1--Him2s]
[(12.9709858, 77.58015279999995)],[ChIJnRtp6QsWrjsRaaAfh76CC4U]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRdvOtMPo4Gw0]
[(12.9719189, 77.58085929999993)],[ChIJD1HAiwsWrjsRyPF7TSTI2PA]
[(12.971211, 77.58015899999998)],[ChIJJZY57AsWrjsRgO8dfsHfQFc]
[(12.9711161, 77.58057099999996)],[ChIJD_tNkwsWrjsRKerd_pnAZC0]
[(12.9706699, 77.58018140000001)],[ChIJrw8HwgsWrjsR5t2EI_Rnie0]
[(12.9726179, 77.57453169999997)],[ChIJL97BHv0VrjsR68djGTyuRGg]
[(12.971195, 77.580242)],[ChIJfa8j7AsWrjsRFcQRQQjWeZ0]
[(12.9713744, 77.58034499999997)],[ChIJtWrt7QsWrjsRWsCdK5eo_0M]
[(12.9717739, 77.58055960000002)],[ChIJAxZR8wsWrjsRTbxRXFvELqo]
[(12.9732261, 77.57483789999992)],[ChIJx3r1Pw8WrjsRU7t5ngLr8CE]
[(12.9716017, 77.58064430000002)],[ChIJiRwcjQsWrjsR2LQ8vpvkAEk]
[(12.971498, 77.58075199999996)],[ChIJvRSCjQsWrjsReqxHP_4QmjU]
[(12.970676, 77.58002269999997)],[ChIJsY6FwgsWrjsRUaeswC6F7ZU]
[(12.971261, 77.58024599999999)],[ChIJ4wQt7AsWrjsRv6L4dSw1yaY]
[(12.9698374, 77.57951079999998)],[ChIJfT_U0AsWrjsRjJ1XkfvuQk8]
[(12.970329, 77.57986000000005)],[ChIJaVFR2wsWrjsRhJoPFPEQJh8]
[(12.9719787, 77.58082579999996)],[ChIJO4i2iwsWrjsR0pibvM7JU_M]
[(12.970745, 77.58025900000007)],[ChIJ6RMI6gsWrjsRn5F44oXArFI]
[(12.9709, 77.58015)],[ChIJkUuc6QsWrjsR745nDRMEe5M]
[(12.9722917, 77.58107050000001)],[ChIJfwlDdgwWrjsRWYFvXGIyy5s]
[(12.9703933, 77.57988950000004)],[ChIJhRVRwwsWrjsREH1fT-P3Df4]
[(12.9712574, 77.5802883)],[ChIJDWwz7AsWrjsR8ng2KTVf1Ng]
