[(12.9643532, 77.5542236)],[ChIJK-VWbgc-rjsRoew56C1Woyg]
[(12.9722, 77.57265000000007)],[ChIJWeqw5AUWrjsRbutVaf7pxvE]
[(12.959533, 77.53646700000002)],[ChIJbdu3iHQ-rjsR5OrGvEdpI_A]
[(12.970196, 77.57164979999993)],[ChIJPWGiQQYWrjsRxul9daCXQnM]
[(12.9680378, 77.54410430000007)],[ChIJBaZreuE9rjsRJunqeqwvFh4]
[(12.9588, 77.55926699999998)],[ChIJY3aBMwI-rjsRq-gFQTEnBoc]
[(12.956467, 77.58298300000001)],[ChIJQZCVxucVrjsR0-f4vyU-iuk]
[(12.9649855, 77.55466009999998)],[ChIJhypxXgc-rjsRn-dstWz8lzo]
[(12.962346, 77.57756399999994)],[ChIJZ3QFv-MVrjsRjOcrs5Q8x_c]
[(12.970183, 77.57156699999996)],[ChIJqSMwQgYWrjsR3eTAZAT1jI0]
[(12.9652802, 77.5679907)],[ChIJwySj_P0VrjsR0eQnV7sQlkI]
[(12.9580437, 77.56748909999999)],[ChIJ33LffPkVrjsRmOQ6J3COOXM]
[(12.963233, 77.56748300000004)],[ChIJEaBVfv4VrjsRW-TyqS9Mgqo]
[(12.958016, 77.56650200000001)],[ChIJC-JscvkVrjsRQOSynByo4NE]
[(12.9682247, 77.57130589999997)],[ChIJV58PsAcWrjsRLOTjCLjX8UI]
[(12.9713769, 77.55548350000004)],[ChIJkyun8Ps9rjsR2uLBN6MMDZ0]
[(12.96425, 77.54263300000002)],[ChIJ75CicAo-rjsRpeLa2bH1Hr0]
[(12.968817, 77.57108300000004)],[ChIJm8ggrQcWrjsRROCv0GWMmUA]
[(12.958846, 77.56594700000005)],[ChIJG5psPvkVrjsRRdzxqh7UBrM]
[(12.9664133, 77.5817518)],[ChIJ32201eEVrjsR7duIPQpQ-ko]
[(12.9688363, 77.56834909999998)],[ChIJZZby1wYWrjsR69i-o3uf_Dc]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsRptU70dCoNF8]
[(12.9565923, 77.5521579)],[ChIJKSdqCgU-rjsR8NRJzo4s7v0]
[(12.9652087, 77.56553209999993)],[ChIJT4JeJf4VrjsRtdT7Ew0mG3c]
[(12.9587213, 77.55626770000003)],[ChIJtzYW9gM-rjsRc9F-Xe6hwl8]
[(12.9695446, 77.54571899999996)],[ChIJPV_s7uM9rjsRNdHVNWAytt0]
[(12.9622508, 77.57612180000001)],[ChIJsVpWCuMVrjsRs8y2iVv2hPQ]
[(12.956548, 77.58284200000003)],[ChIJ2bNNxucVrjsRl8uqRU-3URc]
[(12.9675161, 77.57197199999996)],[ChIJu2sDwwsWrjsRfMrSd4-hviE]
[(12.9714919, 77.55487199999993)],[ChIJI58r8vs9rjsRLsouc9w42Kg]
[(12.9707555, 77.58056850000003)],[ChIJAQAAwAsWrjsR0Mi9xZabSLg]
[(12.971956, 77.53811700000006)],[ChIJIx6ekd09rjsRcsi2o-1wG9c]
[(12.966148, 77.55148710000003)],[ChIJJecbRP09rjsRJccopLqANyM]
[(12.9572779, 77.55352429999994)],[ChIJV1EhQwQ-rjsRucVR9SX_qDM]
[(12.964474, 77.55429000000004)],[ChIJ55Bdbwc-rjsR6MQHT5z3avI]
[(12.9622701, 77.57612240000003)],[ChIJrxWmCuMVrjsRnMR7gDOtL-8]
[(12.959094, 77.56719799999996)],[ChIJOWnYmJsWrjsRMMRGduwAqs4]
[(12.9573125, 77.5728279)],[ChIJV8l33voVrjsRScPqw9NnhIo]
[(12.970927, 77.540978)],[ChIJC5aHMOc9rjsRKMIX5A1xh1c]
[(12.9666706, 77.58117820000007)],[ChIJx-XOdwoWrjsRicFlYMQZ4iE]
[(12.958333, 77.54611699999998)],[ChIJK0hiuA4-rjsR5L00zQk1fOg]
[(12.956989, 77.56373299999996)],[ChIJGxNx2v4VrjsRgLvZb2G4ob4]
[(12.9594289, 77.58291400000007)],[ChIJK-yyF-cVrjsRjLqcRbwVWJo]
[(12.960224, 77.54616699999997)],[ChIJyYdIPgk-rjsRFboCXIUr3As]
